attempt,best_program,program_score,iterations,time_seconds
1,_arg_1,0.0,10000,0.21396780014038086
2,"substr_cvc(substr_cvc("" "", 5, 1), 3, 2)",0.0,10000,0.2050180435180664
3,"replace_cvc(at_cvc(_arg_1, 2), concat_cvc(_arg_1, _arg_1), _arg_1)",0.0,10000,0.2478959560394287
4,"substr_cvc(at_cvc(_arg_1, 2), 4 + 2, 4)",0.0,10000,0.1436607837677002
5,"substr_cvc(contains_cvc(_arg_1, "" ""), 0 - 1, 2)",0.0,10000,0.1661369800567627
6,"substr_cvc(prefixof_cvc(_arg_1, "" ""), 2, 4 - 4)",0.0,10000,0.19404006004333496
7,"substr_cvc("" "", 0 + 3, 3 - 2)",0.0,10000,0.2214658260345459
8,"at_cvc(substr_cvc(_arg_1, 3, 4), 0 + 0)",0.0,10000,0.20790791511535645
9,"replace_cvc(int_to_str_cvc(0), substr_cvc(_arg_1, 1, 0), int_to_str_cvc(0))",0.01,10000,0.2738468647003174
10,"replace_cvc(replace_cvc(_arg_1, "" "", _arg_1), at_cvc("" "", 2), _arg_1)",0.0,10000,0.2781338691711426
11,"replace_cvc(int_to_str_cvc(5), at_cvc("" "", 1), concat_cvc(_arg_1, _arg_1))",0.0,10000,0.2667109966278076
12,"replace_cvc(int_to_str_cvc(0), contains_cvc(_arg_1, "" ""), at_cvc(_arg_1, 4))",0.0,10000,0.1685960292816162
13,"substr_cvc(substr_cvc(_arg_1, 1, 3), 1 - 0, 4)",0.0,10000,0.24462389945983887
14,"substr_cvc(substr_cvc(_arg_1, 5, 2), 2 - 5, 2)",0.0,10000,0.1254129409790039
15,"substr_cvc(substr_cvc("" "", 3, 1), 4 - 4, 0)",0.0,10000,0.20468807220458984
16,"substr_cvc(replace_cvc("" "", "" "", "" ""), 0 + 2, 4)",0.0,10000,0.15564298629760742
17,"substr_cvc(substr_cvc(_arg_1, 1, 2), 2, 5 + 2)",0.0,10000,0.22661209106445312
18,"substr_cvc(substr_cvc(_arg_1, 5, 1), 3, 4 + 0)",0.0,10000,0.13699698448181152
19,"substr_cvc(substr_cvc("" "", 3, 0), 4, 2 + 4)",0.0,10000,0.20145201683044434
20,"substr_cvc(replace_cvc("" "", _arg_1, "" ""), 5, 1 + 2)",0.0,10000,0.24307489395141602
21,"substr_cvc(int_to_str_cvc(1), 2 - 2, 5 + 2)",0.0,10000,0.22332501411437988
22,"substr_cvc(int_to_str_cvc(3), 1 - 3, 4 + 0)",0.0,10000,0.22420310974121094
23,"substr_cvc(int_to_str_cvc(5), 0 - 4, 2 + 4)",0.0,10000,0.20991802215576172
24,"substr_cvc("" "", 0 + 1, indexof_cvc(_arg_1, "" "", 2))",0.0,10000,0.19641399383544922
25,"replace_cvc(_arg_1, at_cvc("" "", 4), replace_cvc(_arg_1, _arg_1, _arg_1))",0.0,10000,0.26116180419921875
26,"replace_cvc(substr_cvc("" "", 1, 5), _arg_1, substr_cvc("" "", 2, 0))",0.0,10000,0.24109387397766113
27,"replace_cvc(substr_cvc("" "", 3, 1), int_to_str_cvc(1), concat_cvc(_arg_1, _arg_1))",0.0,10000,0.23265409469604492
28,"replace_cvc(at_cvc(_arg_1, 3), substr_cvc(_arg_1, 1, 0), int_to_str_cvc(1))",0.01,10000,0.24997186660766602
