attempt,best_program,program_score,time,new_updated_rules
1,_arg_1,0.0,0.2215251922607422,No updates
2,"replace_cvc("" "", ""."", concat_cvc(""+"", _arg_1))",0.0,0.15839052200317383,No updates
3,"substr_cvc("" "", 5, 4 + 4)",0.0,0.2313077449798584,No updates
4,"replace_cvc(replace_cvc("" "", "" "", "" ""), ""+"", ""-"")",0.0,0.28030824661254883,No updates
5,"replace_cvc(contains_cvc(""+"", ""-""), int_to_str_cvc(1), ""+"")",0.0,0.31801724433898926,No updates
6,"replace_cvc("" "", replace_cvc(_arg_1, _arg_1, "".""), ""+"")",0.0,0.2616448402404785,No updates
7,"replace_cvc(""-"", int_to_str_cvc(2), at_cvc(""-"", 4))",0.0,0.18020248413085938,No updates
8,"substr_cvc(replace_cvc(""-"", ""-"", _arg_1), 0, 2)",0.0,0.22402715682983398,No updates
9,"replace_cvc(""+"", ""-"", replace_cvc("" "", _arg_1, _arg_1))",0.0,0.26462602615356445,No updates
10,"substr_cvc(""+"", 1, indexof_cvc(""+"", ""-"", 5))",0.0,0.20123028755187988,No updates
11,"at_cvc(suffixof_cvc(_arg_1, _arg_1), 5 + 3)",0.0,0.21924209594726562,No updates
12,"replace_cvc(""-"", substr_cvc(_arg_1, 3, 4), int_to_str_cvc(1))",0.0,0.18095731735229492,No updates
13,"replace_cvc(at_cvc(""+"", 3), contains_cvc(""-"", "".""), ""-"")",0.0,0.1367630958557129,No updates
14,"replace_cvc(concat_cvc("" "", _arg_1), contains_cvc(""-"", "".""), ""-"")",0.0,0.19597649574279785,No updates
15,"replace_cvc(prefixof_cvc(_arg_1, _arg_1), contains_cvc(""-"", "".""), ""-"")",0.0,0.11070799827575684,No updates
16,"replace_cvc(prefixof_cvc(""."", _arg_1), contains_cvc(""-"", "".""), ""-"")",0.0,0.11040472984313965,No updates
17,"replace_cvc(suffixof_cvc(""-"", _arg_1), contains_cvc(""-"", "".""), ""-"")",0.0,0.12173223495483398,No updates
18,"replace_cvc(contains_cvc(""+"", _arg_1), contains_cvc(""-"", "".""), ""-"")",0.0,0.11854887008666992,No updates
19,"replace_cvc(at_cvc(""-"", 1), at_cvc(""."", 0), ""-"")",0.0,0.15679550170898438,No updates
20,"replace_cvc(suffixof_cvc("" "", "" ""), at_cvc(""+"", 2), ""-"")",0.0,0.26111721992492676,No updates
21,"replace_cvc(""."", replace_cvc(""-"", _arg_1, ""-""), int_to_str_cvc(5))",0.0,0.40691566467285156,No updates
22,"replace_cvc(replace_cvc(_arg_1, ""-"", "".""), int_to_str_cvc(0), ""-"")",0.0,0.42166948318481445,No updates
23,"replace_cvc(int_to_str_cvc(2), replace_cvc("" "", "" "", "".""), ""-"")",0.0,0.22114205360412598,No updates
24,"replace_cvc(at_cvc(""+"", 3), "" "", suffixof_cvc(""."", ""-""))",0.0,0.15552425384521484,No updates
25,"replace_cvc(int_to_str_cvc(2), ""."", substr_cvc(""."", 1, 3))",0.0,0.17758798599243164,No updates
26,"replace_cvc(_arg_1, suffixof_cvc(""."", ""+""), suffixof_cvc(""."", ""-""))",0.0,0.12890863418579102,No updates
27,"replace_cvc("" "", suffixof_cvc(""."", ""+""), suffixof_cvc(""."", ""-""))",0.0,0.1387007236480713,No updates
28,"replace_cvc(""+"", suffixof_cvc(""."", ""+""), suffixof_cvc(""."", ""-""))",0.0,0.12909173965454102,No updates
29,"replace_cvc(""-"", suffixof_cvc(""."", ""+""), suffixof_cvc(""."", ""-""))",0.0,0.13828015327453613,No updates
30,"replace_cvc(""."", suffixof_cvc(""."", ""+""), suffixof_cvc(""."", ""-""))",0.0,0.12838149070739746,No updates
31,"replace_cvc(""+"", at_cvc(""+"", 0), suffixof_cvc(""."", ""-""))",0.0,0.1494140625,No updates
32,"replace_cvc(int_to_str_cvc(3), int_to_str_cvc(4), suffixof_cvc(""."", ""-""))",0.0,0.22852087020874023,No updates
33,"replace_cvc(at_cvc(""-"", 3), ""."", at_cvc(_arg_1, 3))",0.0,0.15119695663452148,No updates
34,"replace_cvc(suffixof_cvc("" "", ""-""), ""+"", at_cvc(""+"", 1))",0.0,0.11543130874633789,No updates
35,"replace_cvc("" "", prefixof_cvc(_arg_1, _arg_1), at_cvc(""-"", 5))",0.0,0.1314394474029541,No updates
36,"replace_cvc(""."", suffixof_cvc("" "", "".""), at_cvc(_arg_1, 3))",0.0,0.16144514083862305,No updates
37,"substr_cvc(at_cvc("" "", 1), 4 + 4, 1)",0.0,0.11696577072143555,No updates
38,"substr_cvc(concat_cvc(_arg_1, _arg_1), 0 - 2, 5)",0.0,0.2589390277862549,No updates
39,"substr_cvc(concat_cvc(""."", ""-""), 2 - 1, 3)",0.0,0.11586117744445801,No updates
40,"substr_cvc(prefixof_cvc(""."", "" ""), 4 - 0, 1)",0.0,0.1101386547088623,No updates
41,"substr_cvc(suffixof_cvc(""-"", "".""), 5 - 4, 5)",0.0,0.12082958221435547,No updates
42,"substr_cvc(contains_cvc(""-"", ""-""), 1 + 3, 3)",0.0,0.19512176513671875,No updates
43,"replace_cvc(concat_cvc(""+"", "".""), _arg_1, prefixof_cvc("" "", ""-""))",0.0,0.17409396171569824,No updates
44,"replace_cvc(prefixof_cvc("" "", "".""), _arg_1, prefixof_cvc("" "", ""-""))",0.0,0.11157488822937012,No updates
45,"replace_cvc(suffixof_cvc(_arg_1, "".""), _arg_1, prefixof_cvc("" "", ""-""))",0.0,0.11104249954223633,No updates
46,"replace_cvc(suffixof_cvc(""."", "".""), _arg_1, prefixof_cvc("" "", ""-""))",0.0,0.12374615669250488,No updates
47,"replace_cvc(contains_cvc(""-"", "".""), _arg_1, prefixof_cvc("" "", ""-""))",0.0,0.1292738914489746,No updates
48,"substr_cvc(at_cvc(_arg_1, 3), 4, 2 - 1)",0.0,0.13657331466674805,No updates
49,"substr_cvc(at_cvc(""."", 2), 5, 0 - 5)",0.0,0.25740933418273926,No updates
50,"substr_cvc(concat_cvc(""."", _arg_1), 0, 5 + 3)",0.0,0.14332151412963867,No updates
51,"substr_cvc(prefixof_cvc(""-"", ""-""), 1, 4 + 1)",0.0,0.11114931106567383,No updates
52,"substr_cvc(suffixof_cvc(""-"", "" ""), 2, 2 + 5)",0.0,0.1229240894317627,No updates
53,"substr_cvc(_arg_1, 3 + 5, 5 + 5)",0.06,0.21609711647033691,"New Rule: substr_cvc(_arg_1, 3 + 5, 5 + 5)"
54,_arg_1,0.0,0.16065716743469238,No updates
55,"replace_cvc(at_cvc("" "", 3), ""+"", ""."")",0.0,0.15316438674926758,No updates
56,"replace_cvc(""."", "" "", prefixof_cvc("" "", ""+""))",0.0,0.13879609107971191,No updates
